claim_id,revision,trip_id,status,allowed_cents,paid_cents,balance_cents,next_owner,reason
C59,1,T59,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C60,1,T60,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C61,1,T61,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C62,1,T62,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C63,1,T63,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C64,1,T64,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C65,1,T65,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C66,1,T66,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C67,1,T67,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C68,1,T68,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C69,1,T69,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C70,1,T70,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C71,1,T71,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C72,1,T72,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C73,1,T73,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C74,1,T74,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C75,1,T75,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C76,1,T76,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C77,1,T77,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C78,1,T78,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C79,1,T79,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C80,1,T80,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C81,1,T81,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C82,1,T82,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C83,1,T83,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C84,1,T84,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C85,1,T85,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C86,1,T86,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C87,1,T87,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C88,1,T88,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C89,1,T89,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C90,1,T90,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C91,1,T91,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C92,1,T92,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C93,1,T93,pending,3500,0,3500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C94,1,T94,pending,4500,0,4500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C95,1,T95,pending,5500,0,5500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C96,1,T96,pending,6500,0,6500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C97,1,T97,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C98,1,T98,pending,8500,0,8500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C99,1,T99,pending,99999,0,99999,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C100,1,T100,pending,100000,0,100000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C101,1,T101,pending,100001,0,100001,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C102,1,T102,pending,14999,0,14999,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C103,1,T103,pending,15000,0,15000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C104,1,T104,pending,15000,0,15000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C105,1,T105,pending,3999,0,3999,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C106,1,T106,pending,4000,0,4000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C107,1,T107,pending,4000,0,4000,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C108,1,T108,pending,208,0,208,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C109,1,T109,pending,208,0,208,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C110,1,T110,pending,2500,0,2500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C111,1,T111,pending,2500,0,2500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C112,1,T112,held,2500,0,2500,FIN-01,"Held on: late_filing, review_missing."
C113,1,T113,held,2500,0,2500,ADMIN-01,Held on: review_missing.
C114,1,T114,held,,0,,EMP-03,"Held on: review_missing, unresolved_line."
C115,1,T115,pending,1500,0,1500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C116,1,T116,held,,0,,ADMIN-01,"Held on: review_missing, unresolved_line."
C117,1,T117,held,,0,,ADMIN-01,"Held on: review_missing, unresolved_line."
C118,1,T118,held,0,0,0,ADMIN-01,Held on: review_missing.
C119,1,T119,held,100001,0,100001,DIR-01,Held on: review_missing.
C120,1,T120,pending,7500,0,7500,FIN-01,Finance accepted the payment request; awaiting confirmed settlement.
C121,1,T121,held,3000,0,3000,SUP-01,Held on: cancellation_requested_pause.
