"Review packets Synthetic business records. SRC-D-3. Ordered references appear on separate lines. Empty optional entries are blank. Review packets preserve the facts seen at the time. Decision reference","Employee ID","Trip reference","Business purpose","Client","Schedule coverage","Alternatives considered","Permit reference","Expense references","Policy revision","Budget record references","Reviewed estimate (EUR)","Budget owner position","Trip revision","Permit revision","Travel cancellation references"
"D-C32-1-claim-budget_owner-1","EMP-03","T32","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-32-1
COST-32-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C32-1-claim-supervisor-1","EMP-03","T32","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-32-1
COST-32-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C33-1-claim-administration-1","EMP-04","T33","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-33-1
COST-33-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C33-1-claim-budget_owner-supervisor-1","EMP-04","T33","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-33-1
COST-33-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C34-1-claim-administration-1","EMP-04","T34","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-34-1
COST-34-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C34-1-claim-budget_owner-supervisor-1","EMP-04","T34","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-34-1
COST-34-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C35-1-claim-administration-1","EMP-04","T35","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-35-1
COST-35-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C35-1-claim-budget_owner-supervisor-1","EMP-04","T35","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-35-1
COST-35-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C36-1-claim-administration-1","EMP-04","T36","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-36-1
COST-36-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C36-1-claim-budget_owner-supervisor-1","EMP-04","T36","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-36-1
COST-36-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C37-1-claim-administration-1","EMP-04","T37","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-37-1
COST-37-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C37-1-claim-budget_owner-supervisor-1","EMP-04","T37","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-37-1
COST-37-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C38-1-claim-administration-1","EMP-04","T38","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-38-1
COST-38-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C38-1-claim-budget_owner-supervisor-1","EMP-04","T38","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-38-1
COST-38-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C39-1-claim-administration-1","EMP-05","T39","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-39-1
COST-39-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C39-1-claim-budget_owner-1","EMP-05","T39","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-39-1
COST-39-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C39-1-claim-supervisor-1","EMP-05","T39","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-39-1
COST-39-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C40-1-claim-administration-1","EMP-05","T40","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-40-1
COST-40-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C40-1-claim-budget_owner-1","EMP-05","T40","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-40-1
COST-40-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C40-1-claim-supervisor-1","EMP-05","T40","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-40-1
COST-40-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C41-1-claim-administration-1","EMP-05","T41","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-41-1
COST-41-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C41-1-claim-budget_owner-1","EMP-05","T41","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-41-1
COST-41-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C41-1-claim-supervisor-1","EMP-05","T41","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-41-1
COST-41-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C42-1-claim-administration-1","EMP-05","T42","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-42-1
COST-42-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C42-1-claim-budget_owner-1","EMP-05","T42","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-42-1
COST-42-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C42-1-claim-supervisor-1","EMP-05","T42","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-42-1
COST-42-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C43-1-claim-administration-1","EMP-05","T43","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-43-1
COST-43-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C43-1-claim-budget_owner-1","EMP-05","T43","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-43-1
COST-43-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C43-1-claim-supervisor-1","EMP-05","T43","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-43-1
COST-43-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C44-1-claim-administration-1","EMP-05","T44","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-44-1
COST-44-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C44-1-claim-budget_owner-1","EMP-05","T44","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-44-1
COST-44-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C44-1-claim-supervisor-1","EMP-05","T44","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-44-1
COST-44-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C45-1-claim-administration-1","EMP-06","T45","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-45-1
COST-45-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
