"Merchant payments Synthetic business records. SRC-D-3. Dates are local calendar dates. Amounts follow the stated currency. Empty optional entries are blank. Transaction reference","Expense reference","Employee ID","Trip reference","Currency","Gross amount","Paid date","Payment status","Receipt reference"
"M-COST-82-1","COST-82-1","EMP-12","T82","EUR","25.00","2026-09-01","settled","R-COST-82-1"
"M-COST-82-2","COST-82-2","EMP-12","T82","EUR","20.00","2026-09-01","settled","R-COST-82-2"
"M-COST-83-1","COST-83-1","EMP-12","T83","EUR","40.00","2026-09-01","settled","R-COST-83-1"
"M-COST-83-2","COST-83-2","EMP-12","T83","EUR","15.00","2026-09-01","settled","R-COST-83-2"
"M-COST-84-1","COST-84-1","EMP-12","T84","EUR","35.00","2026-09-01","settled","R-COST-84-1"
"M-COST-84-2","COST-84-2","EMP-12","T84","EUR","30.00","2026-09-01","settled","R-COST-84-2"
"M-COST-85-1","COST-85-1","EMP-12","T85","EUR","60.00","2026-09-01","settled","R-COST-85-1"
"M-COST-85-2","COST-85-2","EMP-12","T85","EUR","15.00","2026-09-01","settled","R-COST-85-2"
"M-COST-86-1","COST-86-1","EMP-12","T86","EUR","50.00","2026-09-01","settled","R-COST-86-1"
"M-COST-86-2","COST-86-2","EMP-12","T86","EUR","35.00","2026-09-01","settled","R-COST-86-2"
"M-COST-87-1","COST-87-1","EMP-13","T87","EUR","20.00","2026-09-01","settled","R-COST-87-1"
"M-COST-87-2","COST-87-2","EMP-13","T87","EUR","15.00","2026-09-01","settled","R-COST-87-2"
"M-COST-88-1","COST-88-1","EMP-13","T88","EUR","25.00","2026-09-01","settled","R-COST-88-1"
"M-COST-88-2","COST-88-2","EMP-13","T88","EUR","20.00","2026-09-01","settled","R-COST-88-2"
"M-COST-89-1","COST-89-1","EMP-13","T89","EUR","40.00","2026-09-01","settled","R-COST-89-1"
"M-COST-89-2","COST-89-2","EMP-13","T89","EUR","15.00","2026-09-01","settled","R-COST-89-2"
"M-COST-90-1","COST-90-1","EMP-13","T90","EUR","35.00","2026-09-01","settled","R-COST-90-1"
"M-COST-90-2","COST-90-2","EMP-13","T90","EUR","30.00","2026-09-01","settled","R-COST-90-2"
"M-COST-91-1","COST-91-1","EMP-13","T91","EUR","60.00","2026-09-01","settled","R-COST-91-1"
"M-COST-91-2","COST-91-2","EMP-13","T91","EUR","15.00","2026-09-01","settled","R-COST-91-2"
"M-COST-92-1","COST-92-1","EMP-13","T92","EUR","50.00","2026-09-01","settled","R-COST-92-1"
"M-COST-92-2","COST-92-2","EMP-13","T92","EUR","35.00","2026-09-01","settled","R-COST-92-2"
"M-COST-93-1","COST-93-1","EMP-14","T93","EUR","20.00","2026-09-01","settled","R-COST-93-1"
"M-COST-93-2","COST-93-2","EMP-14","T93","EUR","15.00","2026-09-01","settled","R-COST-93-2"
"M-COST-94-1","COST-94-1","EMP-14","T94","EUR","25.00","2026-09-01","settled","R-COST-94-1"
"M-COST-94-2","COST-94-2","EMP-14","T94","EUR","20.00","2026-09-01","settled","R-COST-94-2"
"M-COST-95-1","COST-95-1","EMP-14","T95","EUR","40.00","2026-09-01","settled","R-COST-95-1"
"M-COST-95-2","COST-95-2","EMP-14","T95","EUR","15.00","2026-09-01","settled","R-COST-95-2"
"M-COST-96-1","COST-96-1","EMP-14","T96","EUR","35.00","2026-09-01","settled","R-COST-96-1"
"M-COST-96-2","COST-96-2","EMP-14","T96","EUR","30.00","2026-09-01","settled","R-COST-96-2"
"M-COST-97-1","COST-97-1","EMP-14","T97","EUR","60.00","2026-09-01","settled","R-COST-97-1"
"M-COST-97-2","COST-97-2","EMP-14","T97","EUR","15.00","2026-09-01","settled","R-COST-97-2"
"M-COST-98-1","COST-98-1","EMP-14","T98","EUR","50.00","2026-09-01","settled","R-COST-98-1"
"M-COST-98-2","COST-98-2","EMP-14","T98","EUR","35.00","2026-09-01","settled","R-COST-98-2"
"M-COST-99-1","COST-99-1","EMP-03","T99","EUR","999.99","2026-09-01","settled","R-COST-99-1"
"M-COST-100-1","COST-100-1","EMP-03","T100","EUR","1000.00","2026-09-01","settled","R-COST-100-1"
"M-COST-101-1","COST-101-1","EMP-03","T101","EUR","1000.01","2026-09-01","settled","R-COST-101-1"
"M-COST-102-1","COST-102-1","EMP-03","T102","EUR","149.99","2026-09-01","settled","R-COST-102-1"
"M-COST-103-1","COST-103-1","EMP-03","T103","EUR","150.00","2026-09-01","settled","R-COST-103-1"
"M-COST-104-1","COST-104-1","EMP-03","T104","EUR","150.01","2026-09-01","settled","R-COST-104-1"
"M-COST-105-1","COST-105-1","EMP-03","T105","EUR","39.99","2026-09-01","settled","R-COST-105-1"
"M-COST-106-1","COST-106-1","EMP-03","T106","EUR","40.00","2026-09-01","settled","R-COST-106-1"
"M-COST-107-1","COST-107-1","EMP-03","T107","EUR","40.01","2026-09-01","settled","R-COST-107-1"
"M-COST-108-1","COST-108-1","EMP-03","T108","USD","1.15","2026-09-01","settled","R-COST-108-1"
"M-COST-108-2","COST-108-2","EMP-03","T108","USD","1.15","2026-09-01","settled","R-COST-108-2"
"M-COST-109-1","COST-109-1","EMP-03","T109","USD","1.16","2026-09-01","settled","R-COST-109-1"
"M-COST-109-2","COST-109-2","EMP-03","T109","USD","1.16","2026-09-01","settled","R-COST-109-2"
"M-COST-110-1","COST-110-1","EMP-03","T110","EUR","25.00","2026-08-30","settled","R-COST-110-1"
"M-COST-111-1","COST-111-1","EMP-03","T111","EUR","25.00","2026-08-30","settled","R-COST-111-1"
"M-COST-112-1","COST-112-1","EMP-03","T112","EUR","25.00","2026-08-30","settled","R-COST-112-1"
"M-COST-113-1","COST-113-1","EMP-03","T113","EUR","25.00","2026-09-02","settled","R-COST-113-1"
"M-COST-114-1","COST-114-1","EMP-03","T114","EUR","20.00","2026-09-01","settled","R-COST-114-1"
"M-COST-115-1","COST-115-1","EMP-03","T115","EUR","10.00","2026-09-01","settled","R-COST-115-1"
"M-COST-115-2","COST-115-2","EMP-03","T115","EUR","15.00","2026-09-01","settled","R-COST-115-2"
"M-COST-116-1","COST-116-1","EMP-03","T116","USD","50.00","2026-09-01","settled","R-COST-116-1"
"M-COST-116-2","COST-116-2","EMP-03","T116","GBP","10.00","2026-09-01","settled","R-COST-116-2"
"M-COST-117-1","COST-117-1","EMP-03","T117","EUR","10.00","2026-09-01","settled","R-COST-117-1"
"M-COST-117-2","COST-117-2","EMP-03","T117","EUR","40.00","2026-09-01","settled","R-COST-117-2"
"M-COST-118-1","COST-118-1","EMP-03","T118","EUR","10.00","2026-09-01","settled","R-COST-118-1"
"M-COST-118-2","COST-118-2","EMP-03","T118","EUR","15.00","2026-09-01","settled","R-COST-118-2"
"M-COST-119-1","COST-119-1","EMP-03","T119","EUR","1000.01","2026-09-01","settled","R-COST-119-1"
"M-COST-120-1","COST-120-1","EMP-04","T120","EUR","50.00","2026-09-01","settled","R-COST-120-1"
"M-COST-120-2","COST-120-2","EMP-04","T120","EUR","25.00","2026-09-01","settled","R-COST-120-2"
"M-COST-121","COST-121","EMP-01","T121","EUR","30.00","2026-09-01","settled","R-COST-121"
