"Finance activity Synthetic business records. SRC-D-3. Null monetary entries are blank. Zero is 0.00. Arrival batch differs from the activity time. Activity reference","Arrival batch","Activity type","Request reference","Claim reference","Finance officer","Payee ID","Currency","Amount (EUR)","Original activity reference","Obligation (EUR)","Reason","Activity time (UTC)"
"F-C19-4","4","resolution","REQ-C19","C19","FIN-01","EMP-01","EUR","","","80.00","Finance confirmed resolution","2026-09-14 12:00:00 UTC"
"F-C20-1","2","settled","REQ-C20","C20","FIN-01","EMP-01","EUR","110.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C20-2","3","refund","REQ-C20","C20","FIN-01","EMP-01","EUR","10.00","F-C20-1","","Finance confirmed refund","2026-09-13 12:00:00 UTC"
"F-C20-3","4","resolution","REQ-C20","C20","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed resolution","2026-09-14 12:00:00 UTC"
"F-C09-1","4","settled","REQ-C09","C09","FIN-01","EMP-01","EUR","80.00","","","Finance confirmed settled","2026-09-14 12:00:00 UTC"
"F-C24-1","4","settled","REQ-C24","C24","FIN-01","EMP-01","EUR","50.00","","","Finance confirmed settled","2026-09-14 12:00:00 UTC"
"F-C01-1","4","settled","REQ-C01","C01","FIN-01","EMP-01","EUR","100.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C12-1","4","settled","REQ-C12","C12","FIN-01","EMP-01","EUR","70.00","","","Finance confirmed settled","2026-09-14 12:00:00 UTC"
"F-C01-accepted","1","accepted","REQ-C01","C01","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C02-accepted","1","accepted","REQ-C02","C02","FIN-01","EMP-01","EUR","","","540.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C03-accepted","1","accepted","REQ-C03","C03","FIN-01","EMP-01","EUR","","","200.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C04-accepted","1","accepted","REQ-C04","C04","FIN-01","EMP-02","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C05-accepted","1","accepted","REQ-C05","C05","FIN-01","EMP-01","EUR","","","1,000.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C06-accepted","1","accepted","REQ-C06","C06","FIN-01","EMP-01","EUR","","","1,000.01","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C07-accepted","1","accepted","REQ-C07","C07","FIN-01","EMP-01","EUR","","","300.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C11-accepted","1","accepted","REQ-C11","C11","FIN-01","EMP-01","EUR","","","60.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C16-accepted","1","accepted","REQ-C16","C16","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C17-accepted","1","accepted","REQ-C17","C17","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C18-accepted","1","accepted","REQ-C18","C18","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C19-accepted","1","accepted","REQ-C19","C19","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C20-accepted","1","accepted","REQ-C20","C20","FIN-01","EMP-01","EUR","","","100.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C09-accepted","3","accepted","REQ-C09","C09","FIN-01","EMP-01","EUR","","","80.00","Finance confirmed accepted","2026-09-13 12:00:00 UTC"
"F-C12-accepted","3","accepted","REQ-C12","C12","FIN-01","EMP-01","EUR","","","70.00","Finance confirmed accepted","2026-09-13 12:00:00 UTC"
"F-C24-accepted","3","accepted","REQ-C24","C24","FIN-01","EMP-01","EUR","","","50.00","Finance confirmed accepted","2026-09-13 12:00:00 UTC"
"F-C27-accepted","1","accepted","REQ-C27","C27","FIN-01","EMP-03","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C27-1","2","settled","REQ-C27","C27","FIN-01","EMP-03","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C28-accepted","1","accepted","REQ-C28","C28","FIN-01","EMP-03","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C28-1","2","settled","REQ-C28","C28","FIN-01","EMP-03","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C29-accepted","1","accepted","REQ-C29","C29","FIN-01","EMP-03","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C29-1","2","settled","REQ-C29","C29","FIN-01","EMP-03","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C30-accepted","1","accepted","REQ-C30","C30","FIN-01","EMP-03","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C30-1","2","settled","REQ-C30","C30","FIN-01","EMP-03","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C31-accepted","1","accepted","REQ-C31","C31","FIN-01","EMP-03","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C31-1","2","settled","REQ-C31","C31","FIN-01","EMP-03","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C32-accepted","1","accepted","REQ-C32","C32","FIN-01","EMP-03","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C32-1","2","settled","REQ-C32","C32","FIN-01","EMP-03","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C33-accepted","1","accepted","REQ-C33","C33","FIN-01","EMP-04","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C33-1","2","settled","REQ-C33","C33","FIN-01","EMP-04","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C34-accepted","1","accepted","REQ-C34","C34","FIN-01","EMP-04","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C34-1","2","settled","REQ-C34","C34","FIN-01","EMP-04","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C35-accepted","1","accepted","REQ-C35","C35","FIN-01","EMP-04","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C35-1","2","settled","REQ-C35","C35","FIN-01","EMP-04","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C36-accepted","1","accepted","REQ-C36","C36","FIN-01","EMP-04","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C36-1","2","settled","REQ-C36","C36","FIN-01","EMP-04","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C37-accepted","1","accepted","REQ-C37","C37","FIN-01","EMP-04","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C37-1","2","settled","REQ-C37","C37","FIN-01","EMP-04","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C38-accepted","1","accepted","REQ-C38","C38","FIN-01","EMP-04","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C38-1","2","settled","REQ-C38","C38","FIN-01","EMP-04","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C39-accepted","1","accepted","REQ-C39","C39","FIN-01","EMP-05","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C39-1","2","settled","REQ-C39","C39","FIN-01","EMP-05","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C40-accepted","1","accepted","REQ-C40","C40","FIN-01","EMP-05","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C40-1","2","settled","REQ-C40","C40","FIN-01","EMP-05","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C41-accepted","1","accepted","REQ-C41","C41","FIN-01","EMP-05","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C41-1","2","settled","REQ-C41","C41","FIN-01","EMP-05","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C42-accepted","1","accepted","REQ-C42","C42","FIN-01","EMP-05","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C42-1","2","settled","REQ-C42","C42","FIN-01","EMP-05","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C43-accepted","1","accepted","REQ-C43","C43","FIN-01","EMP-05","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C43-1","2","settled","REQ-C43","C43","FIN-01","EMP-05","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C44-accepted","1","accepted","REQ-C44","C44","FIN-01","EMP-05","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C44-1","2","settled","REQ-C44","C44","FIN-01","EMP-05","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C45-accepted","1","accepted","REQ-C45","C45","FIN-01","EMP-06","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C45-1","2","settled","REQ-C45","C45","FIN-01","EMP-06","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C46-accepted","1","accepted","REQ-C46","C46","FIN-01","EMP-06","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C46-1","2","settled","REQ-C46","C46","FIN-01","EMP-06","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C47-accepted","1","accepted","REQ-C47","C47","FIN-01","EMP-06","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C47-1","2","settled","REQ-C47","C47","FIN-01","EMP-06","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C48-accepted","1","accepted","REQ-C48","C48","FIN-01","EMP-06","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C48-1","2","settled","REQ-C48","C48","FIN-01","EMP-06","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C49-accepted","1","accepted","REQ-C49","C49","FIN-01","EMP-06","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C49-1","2","settled","REQ-C49","C49","FIN-01","EMP-06","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C50-accepted","1","accepted","REQ-C50","C50","FIN-01","EMP-06","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C50-1","2","settled","REQ-C50","C50","FIN-01","EMP-06","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C51-accepted","1","accepted","REQ-C51","C51","FIN-01","EMP-07","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C51-1","2","settled","REQ-C51","C51","FIN-01","EMP-07","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C52-accepted","1","accepted","REQ-C52","C52","FIN-01","EMP-07","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C52-1","2","settled","REQ-C52","C52","FIN-01","EMP-07","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C53-accepted","1","accepted","REQ-C53","C53","FIN-01","EMP-07","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C53-1","2","settled","REQ-C53","C53","FIN-01","EMP-07","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C54-accepted","1","accepted","REQ-C54","C54","FIN-01","EMP-07","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C54-1","2","settled","REQ-C54","C54","FIN-01","EMP-07","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C55-accepted","1","accepted","REQ-C55","C55","FIN-01","EMP-07","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C55-1","2","settled","REQ-C55","C55","FIN-01","EMP-07","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C56-accepted","1","accepted","REQ-C56","C56","FIN-01","EMP-07","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C56-1","2","settled","REQ-C56","C56","FIN-01","EMP-07","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C57-accepted","1","accepted","REQ-C57","C57","FIN-01","EMP-08","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C57-1","2","settled","REQ-C57","C57","FIN-01","EMP-08","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C58-accepted","1","accepted","REQ-C58","C58","FIN-01","EMP-08","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C58-1","2","settled","REQ-C58","C58","FIN-01","EMP-08","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C59-accepted","1","accepted","REQ-C59","C59","FIN-01","EMP-08","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C59-1","2","settled","REQ-C59","C59","FIN-01","EMP-08","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C60-accepted","1","accepted","REQ-C60","C60","FIN-01","EMP-08","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C60-1","2","settled","REQ-C60","C60","FIN-01","EMP-08","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C61-accepted","1","accepted","REQ-C61","C61","FIN-01","EMP-08","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C61-1","2","settled","REQ-C61","C61","FIN-01","EMP-08","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C62-accepted","1","accepted","REQ-C62","C62","FIN-01","EMP-08","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C62-1","2","settled","REQ-C62","C62","FIN-01","EMP-08","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C63-accepted","1","accepted","REQ-C63","C63","FIN-01","EMP-09","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C63-1","2","settled","REQ-C63","C63","FIN-01","EMP-09","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C64-accepted","1","accepted","REQ-C64","C64","FIN-01","EMP-09","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C64-1","2","settled","REQ-C64","C64","FIN-01","EMP-09","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C65-accepted","1","accepted","REQ-C65","C65","FIN-01","EMP-09","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C65-1","2","settled","REQ-C65","C65","FIN-01","EMP-09","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C66-accepted","1","accepted","REQ-C66","C66","FIN-01","EMP-09","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C66-1","2","settled","REQ-C66","C66","FIN-01","EMP-09","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C67-accepted","1","accepted","REQ-C67","C67","FIN-01","EMP-09","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C67-1","2","settled","REQ-C67","C67","FIN-01","EMP-09","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C68-accepted","1","accepted","REQ-C68","C68","FIN-01","EMP-09","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C68-1","2","settled","REQ-C68","C68","FIN-01","EMP-09","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C69-accepted","1","accepted","REQ-C69","C69","FIN-01","EMP-10","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C69-1","2","settled","REQ-C69","C69","FIN-01","EMP-10","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C70-accepted","1","accepted","REQ-C70","C70","FIN-01","EMP-10","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C70-1","2","settled","REQ-C70","C70","FIN-01","EMP-10","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C71-accepted","1","accepted","REQ-C71","C71","FIN-01","EMP-10","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C71-1","2","settled","REQ-C71","C71","FIN-01","EMP-10","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C72-accepted","1","accepted","REQ-C72","C72","FIN-01","EMP-10","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C72-1","2","settled","REQ-C72","C72","FIN-01","EMP-10","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C73-accepted","1","accepted","REQ-C73","C73","FIN-01","EMP-10","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C73-1","2","settled","REQ-C73","C73","FIN-01","EMP-10","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C74-accepted","1","accepted","REQ-C74","C74","FIN-01","EMP-10","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C74-1","2","settled","REQ-C74","C74","FIN-01","EMP-10","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C75-accepted","1","accepted","REQ-C75","C75","FIN-01","EMP-11","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C75-1","2","settled","REQ-C75","C75","FIN-01","EMP-11","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C76-accepted","1","accepted","REQ-C76","C76","FIN-01","EMP-11","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C76-1","2","settled","REQ-C76","C76","FIN-01","EMP-11","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C77-accepted","1","accepted","REQ-C77","C77","FIN-01","EMP-11","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C77-1","2","settled","REQ-C77","C77","FIN-01","EMP-11","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C78-accepted","1","accepted","REQ-C78","C78","FIN-01","EMP-11","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C78-1","2","settled","REQ-C78","C78","FIN-01","EMP-11","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C79-accepted","1","accepted","REQ-C79","C79","FIN-01","EMP-11","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C79-1","2","settled","REQ-C79","C79","FIN-01","EMP-11","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C80-accepted","1","accepted","REQ-C80","C80","FIN-01","EMP-11","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C80-1","2","settled","REQ-C80","C80","FIN-01","EMP-11","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C81-accepted","1","accepted","REQ-C81","C81","FIN-01","EMP-12","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C81-1","2","settled","REQ-C81","C81","FIN-01","EMP-12","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C82-accepted","1","accepted","REQ-C82","C82","FIN-01","EMP-12","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C82-1","2","settled","REQ-C82","C82","FIN-01","EMP-12","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C83-accepted","1","accepted","REQ-C83","C83","FIN-01","EMP-12","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C83-1","2","settled","REQ-C83","C83","FIN-01","EMP-12","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C84-accepted","1","accepted","REQ-C84","C84","FIN-01","EMP-12","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C84-1","2","settled","REQ-C84","C84","FIN-01","EMP-12","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C85-accepted","1","accepted","REQ-C85","C85","FIN-01","EMP-12","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C85-1","2","settled","REQ-C85","C85","FIN-01","EMP-12","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C86-accepted","1","accepted","REQ-C86","C86","FIN-01","EMP-12","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C86-1","2","settled","REQ-C86","C86","FIN-01","EMP-12","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C87-accepted","1","accepted","REQ-C87","C87","FIN-01","EMP-13","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C87-1","2","settled","REQ-C87","C87","FIN-01","EMP-13","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C88-accepted","1","accepted","REQ-C88","C88","FIN-01","EMP-13","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C88-1","2","settled","REQ-C88","C88","FIN-01","EMP-13","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C89-accepted","1","accepted","REQ-C89","C89","FIN-01","EMP-13","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C89-1","2","settled","REQ-C89","C89","FIN-01","EMP-13","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C90-accepted","1","accepted","REQ-C90","C90","FIN-01","EMP-13","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C90-1","2","settled","REQ-C90","C90","FIN-01","EMP-13","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C91-accepted","1","accepted","REQ-C91","C91","FIN-01","EMP-13","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C91-1","2","settled","REQ-C91","C91","FIN-01","EMP-13","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C92-accepted","1","accepted","REQ-C92","C92","FIN-01","EMP-13","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C92-1","2","settled","REQ-C92","C92","FIN-01","EMP-13","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C93-accepted","1","accepted","REQ-C93","C93","FIN-01","EMP-14","EUR","","","35.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C93-1","2","settled","REQ-C93","C93","FIN-01","EMP-14","EUR","35.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C94-accepted","1","accepted","REQ-C94","C94","FIN-01","EMP-14","EUR","","","45.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C94-1","2","settled","REQ-C94","C94","FIN-01","EMP-14","EUR","45.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C95-accepted","1","accepted","REQ-C95","C95","FIN-01","EMP-14","EUR","","","55.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C95-1","2","settled","REQ-C95","C95","FIN-01","EMP-14","EUR","55.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C96-accepted","1","accepted","REQ-C96","C96","FIN-01","EMP-14","EUR","","","65.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
