claim_id,revision,trip_id,status,allowed_cents,paid_cents,balance_cents,next_owner,reason
C26,1,T26,held,10000,0,10000,ADMIN-01,Held on: review_missing.
C27,1,T27,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C28,1,T28,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C29,1,T29,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C30,1,T30,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C31,1,T31,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C32,1,T32,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C33,1,T33,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C34,1,T34,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C35,1,T35,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C36,1,T36,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C37,1,T37,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C38,1,T38,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C39,1,T39,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C40,1,T40,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C41,1,T41,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C42,1,T42,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C43,1,T43,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C44,1,T44,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C45,1,T45,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C46,1,T46,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C47,1,T47,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C48,1,T48,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C49,1,T49,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C50,1,T50,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C51,1,T51,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C52,1,T52,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C53,1,T53,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C54,1,T54,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C55,1,T55,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C56,1,T56,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C57,1,T57,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C58,1,T58,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C59,1,T59,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C60,1,T60,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C61,1,T61,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C62,1,T62,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C63,1,T63,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C64,1,T64,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C65,1,T65,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C66,1,T66,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C67,1,T67,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C68,1,T68,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C69,1,T69,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C70,1,T70,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C71,1,T71,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C72,1,T72,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C73,1,T73,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C74,1,T74,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C75,1,T75,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C76,1,T76,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C77,1,T77,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C78,1,T78,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C79,1,T79,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C80,1,T80,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C81,1,T81,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C82,1,T82,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C83,1,T83,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C84,1,T84,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C85,1,T85,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C86,1,T86,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C87,1,T87,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C88,1,T88,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C89,1,T89,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C90,1,T90,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C91,1,T91,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C92,1,T92,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C93,1,T93,closed-reimbursed,3500,3500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C94,1,T94,closed-reimbursed,4500,4500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C95,1,T95,closed-reimbursed,5500,5500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C96,1,T96,closed-reimbursed,6500,6500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C97,1,T97,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C98,1,T98,closed-reimbursed,8500,8500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C99,1,T99,closed-reimbursed,99999,99999,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C100,1,T100,closed-reimbursed,100000,100000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C101,1,T101,closed-reimbursed,100001,100001,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C102,1,T102,closed-reimbursed,14999,14999,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C103,1,T103,closed-reimbursed,15000,15000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C104,1,T104,closed-reimbursed,15000,15000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C105,1,T105,closed-reimbursed,3999,3999,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C106,1,T106,closed-reimbursed,4000,4000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C107,1,T107,closed-reimbursed,4000,4000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C108,1,T108,closed-reimbursed,208,208,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C109,1,T109,closed-reimbursed,208,208,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C110,1,T110,closed-reimbursed,2500,2500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C111,1,T111,closed-reimbursed,2500,2500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C112,1,T112,held,2500,0,2500,FIN-01,"Held on: late_filing, review_missing."
C113,1,T113,held,2500,0,2500,ADMIN-01,Held on: review_missing.
C114,1,T114,held,,0,,EMP-03,"Held on: review_missing, unresolved_line."
C115,1,T115,closed-reimbursed,1500,1500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C116,1,T116,held,,0,,FIN-01,"Held on: review_missing, unresolved_line."
C117,1,T117,held,,0,,ADMIN-01,"Held on: review_missing, unresolved_line."
C118,1,T118,held,0,0,0,ADMIN-01,Held on: review_missing.
C119,1,T119,held,100001,0,100001,DIR-01,Held on: review_missing.
C120,1,T120,closed-reimbursed,7500,7500,0,,"Current approvals, obligation and net paid agree with no issue remaining."
C121,2,T121,closed-reimbursed,2000,2000,0,,"Current approvals, obligation and net paid agree with no issue remaining."
