"Review ledger Synthetic business records. SRC-D-3. Ordered references appear on separate lines. Empty optional entries are blank. Review packets preserve the facts seen at the time. Decision reference","Arrival batch","Subject type","Subject reference","Revision","Review roles","Reviewer","Outcome","Reason","Repair requested","Source revisions","Affected fields","Decision time (UTC)"
"D-C06-1-claim-administration-1","1","claim","C06","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C06-1-claim-budget_owner-1","1","claim","C06","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C06-1-claim-supervisor-1","1","claim","C06","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C06-1-claim-director-1","1","claim","C06","1","director","DIR-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C07-1-claim-administration-1","1","claim","C07","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C07-1-claim-budget_owner-1","1","claim","C07","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C07-1-claim-supervisor-1","1","claim","C07","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C09-1-claim-administration-1","1","claim","C09","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C09-1-claim-budget_owner-1","1","claim","C09","1","budget_owner","LEAD-01","return","Please supply the revised trip evidence.","Provide revised trip evidence.","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C10-1-permit-administration-1","1","permit","P10","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-02 12:00:00 UTC"
"D-C10-1-permit-budget_owner-1","1","permit","P10","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-02 12:00:00 UTC"
"D-C10-1-permit-supervisor-1","1","permit","P10","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-02 12:00:00 UTC"
"D-C11-1-claim-administration-1","1","claim","C11","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C11-1-claim-budget_owner-1","1","claim","C11","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C11-1-claim-supervisor-1","1","claim","C11","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C14-1-claim-administration-1","1","claim","C14","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C14-1-claim-budget_owner-1","1","claim","C14","1","budget_owner","LEAD-01","reject","Client work was cancelled.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C16-1-claim-administration-1","1","claim","C16","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C16-1-claim-budget_owner-1","1","claim","C16","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C16-1-claim-supervisor-1","1","claim","C16","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C17-1-claim-administration-1","1","claim","C17","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C17-1-claim-budget_owner-1","1","claim","C17","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C17-1-claim-supervisor-1","1","claim","C17","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C18-1-claim-administration-1","1","claim","C18","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C18-1-claim-budget_owner-1","1","claim","C18","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C18-1-claim-supervisor-1","1","claim","C18","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C19-1-claim-administration-1","1","claim","C19","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C19-1-claim-budget_owner-1","1","claim","C19","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C19-1-claim-supervisor-1","1","claim","C19","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C20-1-claim-administration-1","1","claim","C20","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C20-1-claim-budget_owner-1","1","claim","C20","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C20-1-claim-supervisor-1","1","claim","C20","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C21-1-claim-administration-1","1","claim","C21","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C21-1-claim-budget_owner-1","1","claim","C21","1","budget_owner","LEAD-01","return","Budget owner requests a funding review before committing.","Obtain funding decision.","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C09-2-claim-administration-3","3","claim","C09","2","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C09-2-claim-budget_owner-3","3","claim","C09","2","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C09-2-claim-supervisor-3","3","claim","C09","2","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C19-2-claim-administration-3","3","claim","C19","2","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C19-2-claim-budget_owner-3","3","claim","C19","2","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C19-2-claim-supervisor-3","3","claim","C19","2","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C24-1-claim-administration-3","3","claim","C24","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-09 12:00:00 UTC"
"D-C24-1-claim-budget_owner-3","3","claim","C24","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-09 12:00:00 UTC"
"D-C24-1-claim-supervisor-3","3","claim","C24","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-09 12:00:00 UTC"
"D-C12-2-claim-administration-3","3","claim","C12","2","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-09 12:00:00 UTC"
"D-C12-2-claim-budget_owner-3","3","claim","C12","2","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-09 12:00:00 UTC"
"D-C12-2-claim-supervisor-3","3","claim","C12","2","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-09 12:00:00 UTC"
"D-C27-1-claim-administration-1","1","claim","C27","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C27-1-claim-budget_owner-1","1","claim","C27","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C27-1-claim-supervisor-1","1","claim","C27","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C28-1-claim-administration-1","1","claim","C28","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C28-1-claim-budget_owner-1","1","claim","C28","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C28-1-claim-supervisor-1","1","claim","C28","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C29-1-claim-administration-1","1","claim","C29","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C29-1-claim-budget_owner-1","1","claim","C29","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C29-1-claim-supervisor-1","1","claim","C29","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C30-1-claim-administration-1","1","claim","C30","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C30-1-claim-budget_owner-1","1","claim","C30","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C30-1-claim-supervisor-1","1","claim","C30","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C31-1-claim-administration-1","1","claim","C31","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C31-1-claim-budget_owner-1","1","claim","C31","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C31-1-claim-supervisor-1","1","claim","C31","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C32-1-claim-administration-1","1","claim","C32","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C32-1-claim-budget_owner-1","1","claim","C32","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C32-1-claim-supervisor-1","1","claim","C32","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C33-1-claim-administration-1","1","claim","C33","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C33-1-claim-budget_owner-supervisor-1","1","claim","C33","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C34-1-claim-administration-1","1","claim","C34","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C34-1-claim-budget_owner-supervisor-1","1","claim","C34","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C35-1-claim-administration-1","1","claim","C35","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C35-1-claim-budget_owner-supervisor-1","1","claim","C35","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C36-1-claim-administration-1","1","claim","C36","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C36-1-claim-budget_owner-supervisor-1","1","claim","C36","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C37-1-claim-administration-1","1","claim","C37","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C37-1-claim-budget_owner-supervisor-1","1","claim","C37","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C38-1-claim-administration-1","1","claim","C38","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C38-1-claim-budget_owner-supervisor-1","1","claim","C38","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C39-1-claim-administration-1","1","claim","C39","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C39-1-claim-budget_owner-1","1","claim","C39","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C39-1-claim-supervisor-1","1","claim","C39","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C40-1-claim-administration-1","1","claim","C40","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C40-1-claim-budget_owner-1","1","claim","C40","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C40-1-claim-supervisor-1","1","claim","C40","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C41-1-claim-administration-1","1","claim","C41","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C41-1-claim-budget_owner-1","1","claim","C41","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C41-1-claim-supervisor-1","1","claim","C41","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C42-1-claim-administration-1","1","claim","C42","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C42-1-claim-budget_owner-1","1","claim","C42","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C42-1-claim-supervisor-1","1","claim","C42","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C43-1-claim-administration-1","1","claim","C43","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C43-1-claim-budget_owner-1","1","claim","C43","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C43-1-claim-supervisor-1","1","claim","C43","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C44-1-claim-administration-1","1","claim","C44","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C44-1-claim-budget_owner-1","1","claim","C44","1","budget_owner","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C44-1-claim-supervisor-1","1","claim","C44","1","supervisor","SUP-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C45-1-claim-administration-1","1","claim","C45","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C45-1-claim-budget_owner-supervisor-1","1","claim","C45","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C46-1-claim-administration-1","1","claim","C46","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C46-1-claim-budget_owner-supervisor-1","1","claim","C46","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C47-1-claim-administration-1","1","claim","C47","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C47-1-claim-budget_owner-supervisor-1","1","claim","C47","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C48-1-claim-administration-1","1","claim","C48","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C48-1-claim-budget_owner-supervisor-1","1","claim","C48","1","budget_owner
supervisor","LEAD-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
"D-C49-1-claim-administration-1","1","claim","C49","1","administration","ADMIN-01","approve","Business purpose, evidence and review packet accepted.","","DW-D-2
POL-2026.2
SRC-D-3","trip
amount
evidence","2026-09-03 12:00:00 UTC"
