"Trips Synthetic business records. SRC-D-3. Trip/permit revisions are independent of claim revisions. Blank first commitment means none yet. Trip reference","Employee ID","Destination","International","Start date","End date","First commitment date","Estimate (EUR)","Business purpose","Client","Schedule coverage","Alternatives considered","Permit reference","Trip revision","Permit revision"
"T20","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T21","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T22","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T23","EMP-01","BE","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T09B","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Replacement client workshop","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T18B","EMP-01","NL","FALSE","2026-10-12","2026-10-15","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T25","EMP-01","US","TRUE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P25","1","1"
"T26","EMP-01","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T27","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T28","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T29","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T30","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T31","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T32","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T33","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T34","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T35","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T36","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T37","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T38","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T39","EMP-05","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T40","EMP-05","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T41","EMP-05","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T42","EMP-05","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T43","EMP-05","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T44","EMP-05","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T45","EMP-06","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T46","EMP-06","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T47","EMP-06","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T48","EMP-06","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T49","EMP-06","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T50","EMP-06","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T51","EMP-07","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T52","EMP-07","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T53","EMP-07","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T54","EMP-07","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T55","EMP-07","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T56","EMP-07","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T57","EMP-08","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T58","EMP-08","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T59","EMP-08","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T60","EMP-08","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T61","EMP-08","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T62","EMP-08","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T63","EMP-09","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T64","EMP-09","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T65","EMP-09","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T66","EMP-09","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T67","EMP-09","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T68","EMP-09","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T69","EMP-10","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T70","EMP-10","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T71","EMP-10","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T72","EMP-10","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T73","EMP-10","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T74","EMP-10","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T75","EMP-11","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T76","EMP-11","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T77","EMP-11","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T78","EMP-11","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T79","EMP-11","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T80","EMP-11","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T81","EMP-12","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T82","EMP-12","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T83","EMP-12","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T84","EMP-12","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T85","EMP-12","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T86","EMP-12","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T87","EMP-13","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T88","EMP-13","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T89","EMP-13","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T90","EMP-13","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T91","EMP-13","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T92","EMP-13","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T93","EMP-14","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T94","EMP-14","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T95","EMP-14","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T96","EMP-14","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T97","EMP-14","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T98","EMP-14","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T99","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T100","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T101","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T102","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T103","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T104","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T105","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T106","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T107","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T108","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T109","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T110","EMP-03","NL","FALSE","2026-06-29","2026-07-01","2026-06-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T111","EMP-03","NL","FALSE","2026-06-29","2026-07-01","2026-06-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T112","EMP-03","NL","FALSE","2026-06-29","2026-07-01","2026-06-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T113","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T114","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T115","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T116","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T117","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T118","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T119","EMP-03","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T120","EMP-04","NL","FALSE","2026-09-02","2026-09-05","2026-09-01","100.00","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","1",""
"T121","EMP-01","BE","TRUE","2026-09-20","2026-09-22","2026-09-01","300.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P121","1","1"
"T122","EMP-01","BE","TRUE","2026-09-20","2026-09-22","","500.00","Client workshop and delivery planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","P122","1","1"
